X Z Y
714.204482 1280.450194 -888.854814
714.018859 1279.751591 -889.553371
713.832977 1279.052013 -890.252953
713.645696 1278.347169 -890.954181
713.404672 1277.440060 -891.685478
712.833725 1275.291263 -892.597709
715.046182 1274.712775 -826.215950
715.492319 1276.406123 -826.670868
715.748099 1277.376955 -827.183890
715.934667 1278.085088 -827.717817
716.084986 1278.655633 -828.262572
716.228878 1279.201785 -828.808802
716.372670 1279.747562 -829.354501
716.516301 1280.292721 -829.899691
716.659804 1280.837401 -830.444361
716.803148 1281.381473 -830.988523
716.946394 1281.925175 -831.532159
717.089478 1282.468259 -832.075290
717.232434 1283.010860 -832.617907
717.375261 1283.552972 -833.160010
717.517961 1284.094600 -833.701600
717.660533 1284.635740 -834.242679
717.802941 1285.176263 -834.783260
717.945227 1285.716318 -835.323331
718.087378 1286.255864 -835.862895
718.229402 1286.794927 -836.401952
718.371295 1287.333493 -836.940505
718.513062 1287.871580 -837.478552
718.654668 1288.409056 -838.016107
718.796179 1288.946172 -838.553148
718.937528 1289.482673 -839.089700
719.078776 1290.018789 -839.625742
719.219868 1290.554314 -840.161295
719.360833 1291.089357 -840.696349
719.501665 1291.623898 -841.230908
719.642373 1292.157966 -841.764970
719.782949 1292.691532 -842.298539
719.923397 1293.224611 -842.831614
720.063716 1293.757203 -843.364197
720.203907 1294.289308 -843.896288
720.343965 1294.820912 -844.427891
720.483901 1295.352049 -844.959002
720.623707 1295.882693 -845.489625
720.763352 1296.412724 -846.019775
720.902898 1296.942380 -846.549427
721.042315 1297.471551 -847.078593
721.181609 1298.000250 -847.607275
721.320770 1298.528448 -848.135475
721.459804 1299.056160 -848.663193
721.598705 1299.583371 -849.190433
721.737513 1300.110225 -849.717179
721.876160 1300.636473 -850.243459
722.014680 1301.162236 -850.769261
722.153100 1301.687618 -851.294576
722.291364 1302.212410 -851.819427
722.429525 1302.736809 -852.343793
722.567563 1303.260744 -852.867684
722.705438 1303.784060 -853.391117
722.843219 1304.307018 -853.914065
722.980899 1304.829590 -854.436531
723.118419 1305.351558 -854.958542
723.242759 1305.823499 -855.485679
723.344418 1306.209354 -856.022118
723.427071 1306.523070 -856.566416
723.492424 1306.771124 -857.117953
723.542694 1306.961926 -857.675872
723.578905 1307.099370 -858.239821
723.601546 1307.185305 -858.809675
723.609874 1307.216915 -859.385852
723.604341 1307.195912 -859.968242
723.584503 1307.120614 -860.557135
723.549188 1306.986575 -861.153150
723.496444 1306.786382 -861.757270
723.423438 1306.509282 -862.370896
723.325668 1306.138188 -862.996214
723.196026 1305.646122 -863.636644
723.028369 1305.009768 -864.295224
722.853798 1304.347171 -864.957801
722.679001 1303.683716 -865.621309
722.503915 1303.019164 -866.285779
722.328606 1302.353763 -866.951184
722.153069 1301.687499 -867.617527
721.977243 1301.020138 -868.284839
721.801193 1300.351929 -868.953092
721.624884 1299.682736 -869.622303
721.448289 1299.012456 -870.292490
721.271497 1298.341426 -870.963610
721.094417 1297.669308 -871.635710
720.917079 1296.996209 -872.308777
720.739489 1296.322150 -872.982812
720.561665 1295.647208 -873.657806
720.383557 1294.971186 -874.333787
720.205223 1294.294304 -875.010729
720.026602 1293.616336 -875.688663
719.847721 1292.937380 -876.367578
719.668612 1292.257557 -877.047462
719.489219 1291.576656 -877.728344
719.309567 1290.894776 -878.410212
719.129656 1290.211909 -879.093072
718.949489 1289.528070 -879.776921
718.769064 1288.843253 -880.461765
718.588353 1288.157352 -881.147618
718.407412 1287.470578 -881.834456
718.226184 1286.782714 -882.522309
718.044697 1286.093865 -883.211165
717.862922 1285.403926 -883.901042
717.680922 1284.713130 -884.591909
717.498631 1284.021230 -885.283802
717.316053 1283.328241 -885.976723
717.133249 1282.634395 -886.670640
716.950155 1281.939446 -887.365591
716.766773 1281.243410 -888.061576
716.583132 1280.546383 -888.758583
716.399235 1279.848389 -889.456611
716.215045 1279.149285 -890.155684
716.030602 1278.449214 -890.855782
715.805539 1277.594973 -891.578994
715.368501 1275.936162 -892.419716
715.622648 1274.656990 -826.208606
716.076152 1276.381963 -826.660887
716.333213 1277.359735 -827.173276
716.520538 1278.072256 -827.706773
716.670930 1278.644294 -828.251334
716.814541 1279.190545 -828.797487
716.957969 1279.736094 -829.343136
717.101295 1280.281257 -829.888257
717.244489 1280.825916 -830.432860
717.387529 1281.369993 -830.976954
717.530441 1281.913580 -831.520531
717.673220 1282.456664 -832.063594
717.815842 1282.999150 -832.606152
717.958336 1283.541148 -833.148197
718.100728 1284.082760 -833.689721
718.242965 1284.623781 -834.230744
718.385072 1285.164308 -834.771256
718.527020 1285.704228 -835.311271
718.668870 1286.243778 -835.850768
718.810559 1286.782712 -836.389770
718.952152 1287.321285 -836.928254
719.093585 1287.859248 -837.466246
719.234894 1288.396737 -838.003732
719.376070 1288.933724 -838.540719
719.517114 1289.470208 -839.077205
719.658034 1290.006219 -839.613190
719.798827 1290.541748 -840.148676
719.939458 1291.076661 -840.683677
720.079990 1291.611194 -841.218170
720.220369 1292.145147 -841.752177
720.360645 1292.678711 -842.285680
720.500764 1293.211675 -842.818700
720.640782 1293.744256 -843.351218
720.780645 1294.276245 -843.883255
720.920409 1294.807861 -844.414790
721.060012 1295.338862 -844.945849
721.199490 1295.869391 -845.476419
721.338868 1296.399538 -846.006491
721.478087 1296.929079 -846.536089
721.617208 1297.458247 -847.065191
721.756171 1297.986816 -847.593820
721.895036 1298.515011 -848.121956
722.033744 1299.042607 -848.649621
722.172352 1299.569825 -849.176795
722.310830 1300.096547 -849.703490
722.449153 1300.622680 -850.229717
722.587379 1301.148446 -850.755455
722.725472 1301.673706 -851.280718
722.863442 1302.198495 -851.805505
723.001278 1302.722778 -852.329820
723.139023 1303.246709 -852.853646
723.276604 1303.770022 -853.377016
723.414088 1304.292962 -853.899901
723.551414 1304.815305 -854.422330
723.688645 1305.337284 -854.944275
723.813518 1305.812261 -855.471005
723.915509 1306.200200 -856.007140
723.998213 1306.514775 -856.551270
724.063939 1306.764774 -857.102513
724.114549 1306.957280 -857.660163
724.151134 1307.096435 -858.223838
724.174179 1307.184088 -858.793416
724.182710 1307.216541 -859.369415
724.177640 1307.197257 -859.951524
724.158324 1307.123782 -860.540119
724.123599 1306.991700 -861.135818
724.071544 1306.793702 -861.739591
723.999368 1306.519168 -862.352821
723.902541 1306.150874 -862.977711
723.774107 1305.662354 -863.617617
723.607673 1305.029295 -864.275697
723.433507 1304.366826 -864.938156
723.259111 1303.703485 -865.601547
723.084431 1303.039061 -866.265899
722.909528 1302.373788 -866.931185
722.734363 1301.707524 -867.597425
722.558974 1301.040404 -868.264604
722.383299 1300.372195 -868.932752
722.207397 1299.703122 -869.601845
722.031240 1299.033082 -870.271897
721.854827 1298.362066 -870.942912
721.678155 1297.690068 -871.614892
721.501255 1297.017201 -872.287825
721.324075 1296.343268 -872.961739
721.146635 1295.668347 -873.636625
720.968963 1294.992542 -874.312473
720.791010 1294.315674 -874.989307
720.612828 1293.637929 -875.667106
720.434364 1292.959114 -876.345898
720.255635 1292.279289 -877.025675
720.076656 1291.598514 -877.706434
719.897449 1290.916871 -878.388165
719.717953 1290.234129 -879.070901
719.538201 1289.550415 -879.754627
719.358161 1288.865603 -880.439363
719.177896 1288.179939 -881.125077
718.997342 1287.493170 -881.811806
718.816530 1286.805423 -882.499535
718.635464 1286.116713 -883.188265
718.454138 1285.427010 -883.878001
718.272522 1284.736203 -884.568761
718.090652 1284.044434 -885.260528
717.908524 1283.351680 -885.953307
717.726112 1282.657846 -886.647114
717.543439 1281.963020 -887.341938
717.360509 1281.267219 -888.037780
717.177290 1280.570314 -888.734660
716.993816 1279.872443 -889.432562
716.810050 1279.173461 -890.131506
716.626030 1278.473512 -890.831477
716.405165 1277.633417 -891.552536
715.985359 1276.036618 -892.384147
716.199043 1274.601315 -826.201279
716.659879 1276.357917 -826.650923
716.918154 1277.342405 -827.162697
717.106234 1278.059320 -827.695764
717.256752 1278.633063 -828.240114
717.400029 1279.179199 -828.786208
717.543147 1279.724733 -829.331790
717.686167 1280.269896 -829.876842
717.829030 1280.814456 -830.421385
717.971732 1281.358403 -830.965422
718.114335 1281.901975 -831.508932
718.256781 1282.444944 -832.051937
718.399099 1282.987430 -832.594428
718.541285 1283.529412 -833.136406
718.683349 1284.070924 -833.677871
718.825250 1284.611820 -834.218837
718.967053 1285.152341 -834.759283
719.108698 1285.692260 -835.299230
719.250212 1286.231681 -835.838671
719.391602 1286.770628 -836.377605
719.532862 1287.309077 -836.916033
719.673962 1287.846920 -837.453969
719.814966 1288.384393 -837.991391
719.955811 1288.921264 -838.528321
720.096559 1289.457762 -839.064739
720.237150 1289.993663 -839.600668
720.377608 1290.529056 -840.136101
720.517969 1291.064081 -840.671024
720.658172 1291.598505 -841.205462
720.798248 1292.132441 -841.739404
720.938195 1292.665890 -842.272852
721.078015 1293.198851 -842.805806
721.217707 1293.731326 -843.338269
721.357268 1294.263298 -843.870241
721.496675 1294.794686 -844.401734
721.635980 1295.325684 -844.932728
721.775157 1295.856196 -845.463234
721.914208 1296.386227 -845.993252
722.053134 1296.915781 -846.522784
722.191928 1297.444833 -847.051832
722.330591 1297.973384 -847.580399
722.469130 1298.501464 -848.108481
722.607540 1299.029051 -848.636083
722.745824 1299.556159 -849.163203
722.884006 1300.082878 -849.689834
723.022034 1300.609008 -850.215997
723.159930 1301.134637 -850.741685
723.297732 1301.659909 -851.266883
723.435374 1302.184567 -851.791619
723.572921 1302.708868 -852.315868
723.710336 1303.232662 -852.839645
723.847624 1303.755971 -853.362951
723.984788 1304.278810 -853.885784
724.121821 1304.801149 -854.408149
724.258726 1305.322998 -854.930045
724.384071 1305.800784 -855.456393
724.486354 1306.190666 -855.992241
724.569235 1306.506588 -856.536148
724.635303 1306.758427 -857.087109
724.686256 1306.952645 -857.644488
724.723180 1307.093393 -858.207905
724.746426 1307.182001 -858.777295
724.755363 1307.216067 -859.353028
724.750753 1307.198495 -859.934855
724.731985 1307.126957 -860.523141
724.697844 1306.996818 -861.118526
724.646317 1306.800408 -861.722023
724.575031 1306.528681 -862.334829
724.479247 1306.163576 -862.959244
724.352012 1305.678583 -863.598629
724.186796 1305.048819 -864.256210
724.013030 1304.386464 -864.918553
723.839010 1303.723138 -865.581840
723.664765 1303.058955 -866.246060
723.490262 1302.393788 -866.911230
723.315506 1301.727659 -867.577350
723.140493 1301.060547 -868.244424
722.965256 1300.392585 -868.912439
722.789758 1299.723626 -869.581414
722.613980 1299.053600 -870.251360
722.437972 1298.382697 -870.922257
722.261737 1297.710931 -871.594103
722.085219 1297.038085 -872.266929
721.908444 1296.364257 -872.940724
721.731415 1295.689463 -873.615490
721.554156 1295.013791 -874.291215
721.376616 1294.337049 -874.967928
721.198844 1293.659423 -875.645606
721.020789 1292.980719 -876.324277
720.842476 1292.301027 -877.003932
720.663938 1291.620482 -877.684554
720.485112 1290.938837 -878.366179
720.306033 1290.256228 -879.048791
720.126695 1289.572632 -879.732394
719.947070 1288.887945 -880.417006
719.767218 1288.202391 -881.102599
719.587083 1287.515753 -881.789203
719.406715 1286.828235 -882.476793
719.226039 1286.139537 -883.165413
719.045127 1285.449943 -883.855026
718.863965 1284.759395 -884.545643
718.682514 1284.067741 -885.237285
718.500778 1283.375007 -885.929953
718.318812 1282.681393 -886.623620
718.136560 1281.986691 -887.318319
717.954023 1281.290900 -888.014050
717.771255 1280.594230 -888.710788
717.588174 1279.896369 -889.408578
717.404864 1279.197630 -890.107378
717.221265 1278.497795 -890.807222
717.004204 1277.670408 -891.526337
716.601879 1276.136834 -892.348664
716.771412 1274.530644 -826.195205
717.243498 1276.333976 -826.640977
717.502985 1277.325195 -827.152136
717.691783 1278.046386 -827.684782
717.842456 1278.621949 -828.228912
717.985397 1279.167971 -828.774946
718.128207 1279.713494 -829.320461
718.270862 1280.258425 -829.865465
718.413416 1280.802969 -830.409941
718.555813 1281.346916 -830.953909
718.698083 1281.890373 -831.497362
718.840225 1282.433347 -832.040298
718.982210 1282.975718 -832.582731
719.124093 1283.517699 -833.124642
719.265818 1284.059077 -833.666051
719.407416 1284.599972 -834.206950
719.548888 1285.140383 -834.747338
719.690197 1285.680173 -835.287230
719.831413 1286.219607 -835.826602
719.972468 1286.758424 -836.365480
720.113425 1287.296867 -836.903843
720.254225 1287.834713 -837.441711
720.394898 1288.372071 -837.979077
720.535442 1288.908942 -838.515940
720.675856 1289.445309 -839.052305
720.816145 1289.981203 -839.588168
720.956304 1290.516600 -840.123534
721.096306 1291.051396 -840.658413
721.236208 1291.585812 -841.192785
721.375955 1292.119633 -841.726672
721.515604 1292.653080 -842.260054
721.655091 1293.185912 -842.792956
721.794485 1293.718384 -843.325353
721.933719 1294.250247 -843.857271
722.072853 1294.781730 -844.388688
722.211835 1295.312628 -844.919627
722.350714 1295.843137 -845.450067
722.489437 1296.373047 -845.980033
722.628032 1296.902470 -846.509513
722.766530 1297.431520 -847.038497
722.904871 1297.959970 -847.567009
723.043110 1298.488032 -848.095028
723.181225 1299.015623 -848.622564
723.319182 1299.542608 -849.149633
723.457040 1300.069212 -849.676211
723.594772 1300.595339 -850.202311
723.732373 1301.120965 -850.727934
723.869851 1301.646120 -851.253080
724.007199 1302.170775 -851.777753
724.144419 1302.694945 -852.301952
724.281510 1303.218623 -852.825678
724.418508 1303.741944 -853.348919
724.555345 1304.264652 -853.871702
724.692085 1304.786988 -854.394004
724.828697 1305.308833 -854.915837
724.954253 1305.788447 -855.441915
725.056897 1306.180542 -855.977445
725.140113 1306.498420 -856.521060
725.206513 1306.752063 -857.071743
725.257807 1306.948000 -857.628852
725.295099 1307.090453 -858.191997
725.318520 1307.179919 -858.761210
725.327886 1307.215696 -859.336665
725.323732 1307.199829 -859.918213
725.305484 1307.130123 -860.506201
725.272121 1307.002677 -861.101183
725.220799 1306.806634 -861.704551
725.150243 1306.537115 -862.317005
725.055751 1306.176161 -862.940831
724.929743 1305.694822 -863.579680
724.765711 1305.068233 -864.236775
724.592350 1304.406007 -864.899000
724.418733 1303.742803 -865.562171
724.244889 1303.078733 -866.226274
724.070791 1302.413695 -866.891326
723.896438 1301.747679 -867.557329
723.721831 1301.080694 -868.224285
723.546996 1300.412838 -868.892183
723.371878 1299.743901 -869.561052
723.196534 1299.074101 -870.230867
723.020934 1298.403325 -870.901643
722.845080 1297.731573 -871.573384
722.668999 1297.058960 -872.246076
722.492632 1296.385251 -872.919752
722.316012 1295.710576 -873.594397
722.139164 1295.035031 -874.270001
721.962032 1294.358400 -874.946595
721.784645 1293.680795 -875.624165
721.607026 1293.002307 -876.302703
721.429129 1292.322755 -876.982233
721.250974 1291.642216 -877.662749
721.072562 1290.960697 -878.344251
720.893896 1290.278206 -879.026741
720.714971 1289.594727 -879.710222
720.535794 1288.910285 -880.394695
720.356357 1288.224848 -881.080164
720.176636 1287.538328 -881.766646
719.996658 1286.850829 -882.454126
719.816425 1286.162353 -883.142609
719.635936 1285.472898 -883.832095
719.455163 1284.782361 -884.522602
719.274131 1284.090832 -885.214119
719.092841 1283.398318 -885.906648
718.911297 1282.704835 -886.600189
718.729464 1282.010248 -887.294762
718.547349 1281.314581 -887.990367
718.365005 1280.618042 -888.686977
718.182374 1279.920407 -889.384625
717.999457 1279.221678 -890.083315
717.816285 1278.521974 -890.783030
717.602112 1277.703852 -891.500698
717.216115 1276.229375 -892.314343
710.999037 1275.069452 -826.270848
711.399988 1276.568963 -826.742001
711.645804 1277.488284 -827.259708
711.829959 1278.177001 -827.795717
711.979159 1278.734995 -828.342007
712.125353 1279.281742 -828.888673
712.271383 1279.827876 -829.434827
712.417256 1280.373424 -829.980469
712.563026 1280.918586 -830.525582
712.708631 1281.463131 -831.070187
712.854140 1282.007321 -831.614263
712.999485 1282.550894 -832.157834
713.144671 1283.093870 -832.700898
713.289755 1283.636466 -833.243439
713.434680 1284.178471 -833.785476
713.579470 1284.719968 -834.327002
713.724130 1285.260982 -834.868017
713.868662 1285.801512 -835.408521
714.013062 1286.341550 -835.948518
714.157298 1286.880977 -836.488017
714.301439 1287.420049 -837.026998
714.445415 1287.958501 -837.565486
714.589258 1288.496455 -838.103470
714.732974 1289.033937 -838.640950
714.876560 1289.570931 -839.177927
715.020011 1290.107423 -839.714405
715.163334 1290.643433 -840.250382
715.306495 1291.178838 -840.785872
715.449553 1291.713859 -841.320854
715.592455 1292.248295 -841.855349
715.735253 1292.782342 -842.389338
715.877894 1293.315805 -842.922843
716.020432 1293.848878 -843.455844
716.162810 1294.381358 -843.988364
716.305084 1294.913444 -844.520383
716.447201 1295.444945 -845.051921
716.589186 1295.975951 -845.582972
716.731073 1296.506593 -846.113522
716.872796 1297.036621 -846.643598
717.014391 1297.566169 -847.173187
717.155884 1298.095338 -847.702280
717.297218 1298.623908 -848.230902
717.438447 1299.152091 -848.759030
717.579521 1299.679690 -849.286687
717.720491 1300.206902 -849.813853
717.861304 1300.733524 -850.340550
718.002015 1301.259765 -850.866758
718.142594 1301.785515 -851.392489
718.283045 1302.310786 -851.917743
718.423365 1302.835566 -852.442522
718.563554 1303.359856 -852.966828
718.703614 1303.883666 -853.490659
718.843544 1304.406986 -854.014019
718.983370 1304.929920 -854.536898
719.121897 1305.447994 -855.059798
719.243581 1305.903079 -855.589297
719.342809 1306.274179 -856.127890
719.423200 1306.574831 -856.674172
719.487044 1306.813601 -857.227281
719.535515 1306.994877 -857.786818
719.569034 1307.120235 -858.352697
719.588850 1307.194344 -858.924471
719.595048 1307.217524 -859.502189
719.586792 1307.186646 -860.086307
719.563191 1307.098384 -860.677309
719.523568 1306.950196 -861.275596
719.465927 1306.734625 -861.882159
719.387162 1306.440055 -862.498505
719.282421 1306.048337 -863.126954
719.142267 1305.524175 -863.771941
718.967837 1304.871827 -864.433175
718.790440 1304.208384 -865.096578
718.612808 1303.544062 -865.760917
718.434922 1302.878787 -866.426203
718.256770 1302.212522 -867.092442
718.078390 1301.545402 -867.759620
717.899721 1300.877201 -868.427767
717.720820 1300.208131 -869.096859
717.541660 1299.538094 -869.766911
717.362236 1298.867067 -870.437926
717.182551 1298.195067 -871.109906
717.002608 1297.522101 -871.782851
716.822434 1296.848274 -872.456751
716.641965 1296.173339 -873.131638
716.461267 1295.497551 -873.807484
716.280279 1294.820678 -874.484318
716.099032 1294.142833 -875.162130
715.917548 1293.464105 -875.840910
715.735777 1292.784302 -876.520685
715.553745 1292.103526 -877.201443
715.371449 1291.421758 -877.883191
715.188892 1290.739018 -878.565926
715.006076 1290.055308 -879.249652
714.822995 1289.370604 -879.934373
714.639654 1288.684931 -880.620088
714.456020 1287.998161 -881.306817
714.272128 1287.310429 -881.994545
714.087970 1286.621698 -882.683277
713.903556 1285.932012 -883.373011
713.718845 1285.241216 -884.063769
713.533872 1284.549437 -884.755538
713.348640 1283.856689 -885.448316
713.163116 1283.162855 -886.142123
712.977326 1282.468022 -886.836948
712.791276 1281.772215 -887.532792
712.604933 1281.075313 -888.229671
712.418331 1280.377445 -888.927572
712.231433 1279.678469 -889.626517
712.044273 1278.978511 -890.326489
711.854438 1278.268550 -891.028787
711.598901 1277.312874 -891.767443
711.579037 1275.024172 -826.262463
711.985432 1276.547236 -826.731632
712.232295 1277.472415 -827.248793
712.416648 1278.163325 -827.784552
712.566155 1278.723636 -828.330578
712.711977 1279.270141 -828.877195
712.857705 1279.816290 -829.423278
713.003267 1280.361822 -829.968852
713.148697 1280.906855 -830.513906
713.294001 1281.451420 -831.058440
713.439170 1281.995476 -831.602458
713.584180 1282.538935 -832.145969
713.729061 1283.081910 -832.688965
713.873811 1283.624398 -833.231446
714.018427 1284.166381 -833.773416
714.162914 1284.707882 -834.314873
714.307241 1285.248782 -834.855829
714.451469 1285.789311 -835.396265
714.595531 1286.329220 -835.936205
714.739464 1286.868645 -836.475636
714.883267 1287.407583 -837.014561
715.026942 1287.946038 -837.552980
715.170456 1288.483893 -838.090906
715.313866 1289.021358 -838.628319
715.457116 1289.558223 -839.165241
715.600240 1290.094615 -839.701660
715.743258 1290.630609 -840.237571
715.886118 1291.166011 -840.772994
716.028850 1291.700933 -841.307918
716.171447 1292.235352 -841.842347
716.313915 1292.769284 -842.376280
716.456252 1293.302730 -842.909719
716.598460 1293.835688 -843.442665
716.740540 1294.368166 -843.975118
716.882484 1294.900137 -844.507081
717.024272 1295.431523 -845.038565
717.165958 1295.962526 -845.569549
717.307513 1296.493038 -846.100046
717.448938 1297.023064 -846.630055
