Arm ID,Test #,Arm Type,Toe (deg),Camber (deg),Bar Toe (deg),Bar Camber (deg),Spindle Toe (deg),Spindle Camber (deg),Total Relative Angle (deg),Date Scanned (yyyy-mm-dd_hhmmss)
1,,,,,,,,,,
1,00,22.5_up_left_real,0.03883651669987387,-0.07886672799082817,0.019926596667403373,0.0012612007005969872,0.058763112199955,-0.0776055503543489,0.08791036345711271,2026-02-12_081421
1,01,22.5_up_left_real,0.03883651669987387,-0.07886672799082817,0.019926596667403373,0.0012612007005969872,0.058763112199955,-0.0776055503543489,0.08791036345711271,2026-02-12_081527
2,,,,,,,,,,
2,01,45_down_right_real,-0.0027850168649337093,-0.21554931678679168,0.014263621623058498,-0.3996773517414738,0.011478463905035596,-0.615226667762002,0.2155673076787676,2026-02-12_081657
